comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
说的对,中国:浙江:台州,Sat Jun 03 06:32:36 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,等待.,上古情歌,0
呵呵。我这是没电视看也不看啊,::,Sat Jun 03 02:06:32 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,胡汉山,上古情歌,3
感觉还可以哟,中国:广西:柳州,Sat Jun 03 02:00:36 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,霍香,上古情歌,2
哦,中国:浙江:温州,Sat Jun 03 02:48:47 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,hhs,上古情歌,0
来看宋茜的，期待！等 6.12！,::,Sat Jun 03 01:34:12 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,Jessie,上古情歌,4
原著是日版的，看过，很走心，酸甜苦辣咸，每一道菜都有一个主人公，对应一段往事。不仅仅只是美食，也是人情情怀。期待黄磊的这部，刚看到预告居然还有红烧猪爪哈哈不错。就应该加入点中国本土各个地方的美食。毕竟这是属于中国剧啊。期待。,::,Wed May 31 00:32:38 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dt9sevrupdt1eqr_y.jpg,6.12首播,M╮King,深夜食堂,3
看这种片子，看的是一种情感，没必要纠结它抄袭谁，为什么别国有，我们国家不可以有？好的情怀大家可以共享嘛，毕竟情感是不分国界的，他只要拍的能引起你我的共鸣这就够了！,中国:山东:青岛,Mon May 22 02:26:23 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dt9sevrupdt1eqr_y.jpg,6.12首播,空,深夜食堂,8
上年看过日本的深夜食堂很暖心，很感人。本来看到中国翻拍了日本的觉得不那么期待。看完预告片，我一定要看，不知道是不是因为它的语言是我们的母语，还是里面的演员都是实力派的，预告片看完我的内心酸酸的。,中国:黑龙江:双鸭山,Tue May 23 20:08:28 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dt9sevrupdt1eqr_y.jpg,6.12首播,姜小妞,深夜食堂,4
没看过就说不好 ，每个人塑造的人物都不一样，借鉴怎么了，同样的娱乐节目大家不也看的津津乐道吗，出国留学像其他国家学习的人不也比比皆是吗，看过再说吧，嘴下积德，请为你们说的话负责,中国:辽宁:盘锦,Thu May 18 08:22:34 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dt9sevrupdt1eqr_y.jpg,6.12首播,小胖,深夜食堂,7
每个人都有一些事，一些情，没有理由评论别人长短，我只在乎每个人在做事时候，和付出时候它是否是专心的，敬业的，如果有这点品质，世间难量事也没必要那么计较，做好自己该做好的事，就尊重人之初根本。,中国:广东:东莞,Wed Apr 19 12:59:53 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,Lee.Yan.phoenix姐,外科风云,88
